,density,env,Run,BurnedOut,height,width
295,0.03,0.096,295,0.018808777429467086,100,100
296,0.03,0.097,296,0.03,100,100
297,0.03,0.098,297,0.013468013468013467,100,100
298,0.03,0.099,298,0.02027027027027027,100,100
299,0.03,0.1,299,0.028169014084507043,100,100
300,0.04,0.001,300,0.0,100,100
301,0.04,0.002,301,0.0,100,100
302,0.04,0.003,302,0.0,100,100
303,0.04,0.004,303,0.002352941176470588,100,100
304,0.04,0.005,304,0.002577319587628866,100,100
305,0.04,0.006,305,0.004705882352941176,100,100
306,0.04,0.007,306,0.0,100,100
307,0.04,0.008,307,0.002717391304347826,100,100
308,0.04,0.009000000000000001,308,0.0,100,100
309,0.04,0.01,309,0.0,100,100
310,0.04,0.011,310,0.008174386920980926,100,100
311,0.04,0.012,311,0.0,100,100
312,0.04,0.013000000000000001,312,0.0025906735751295338,100,100
313,0.04,0.014,313,0.007389162561576354,100,100
314,0.04,0.015,314,0.0,100,100
315,0.04,0.016,315,0.0027100271002710027,100,100
316,0.04,0.017,316,0.005194805194805195,100,100
317,0.04,0.018000000000000002,317,0.007334963325183374,100,100
318,0.04,0.019,318,0.0024937655860349127,100,100
319,0.04,0.02,319,0.007317073170731708,100,100
320,0.04,0.021,320,0.017114914425427872,100,100
321,0.04,0.022,321,0.007075471698113208,100,100
322,0.04,0.023,322,0.008908685968819599,100,100
323,0.04,0.024,323,0.004830917874396135,100,100
324,0.04,0.025,324,0.010309278350515464,100,100
325,0.04,0.026000000000000002,325,0.010443864229765013,100,100
326,0.04,0.027,326,0.0024630541871921183,100,100
327,0.04,0.028,327,0.007772020725388601,100,100
328,0.04,0.029,328,0.004608294930875576,100,100
329,0.04,0.03,329,0.022556390977443608,100,100
330,0.04,0.031,330,0.016483516483516484,100,100
331,0.04,0.032,331,0.0,100,100
332,0.04,0.033,332,0.01240694789081886,100,100
333,0.04,0.034,333,0.011682242990654205,100,100
334,0.04,0.035,334,0.007042253521126761,100,100
335,0.04,0.036000000000000004,335,0.015189873417721518,100,100
336,0.04,0.037,336,0.014184397163120567,100,100
337,0.04,0.038,337,0.010723860589812333,100,100
338,0.04,0.039,338,0.013986013986013986,100,100
339,0.04,0.04,339,0.0027247956403269754,100,100
340,0.04,0.041,340,0.01808785529715762,100,100
341,0.04,0.042,341,0.005141388174807198,100,100
342,0.04,0.043000000000000003,342,0.014492753623188406,100,100
343,0.04,0.044,343,0.01909307875894988,100,100
344,0.04,0.045,344,0.015,100,100
345,0.04,0.046,345,0.015873015873015872,100,100
346,0.04,0.047,346,0.009569377990430622,100,100
347,0.04,0.048,347,0.0,100,100
348,0.04,0.049,348,0.01179245283018868,100,100
349,0.04,0.05,349,0.00963855421686747,100,100
350,0.04,0.051000000000000004,350,0.01084010840108401,100,100
351,0.04,0.052000000000000005,351,0.01485148514851485,100,100
352,0.04,0.053,352,0.015706806282722512,100,100
353,0.04,0.054,353,0.005115089514066497,100,100
354,0.04,0.055,354,0.02558139534883721,100,100
355,0.04,0.056,355,0.010638297872340425,100,100
356,0.04,0.057,356,0.01488833746898263,100,100
357,0.04,0.058,357,0.015267175572519083,100,100
358,0.04,0.059000000000000004,358,0.031862745098039214,100,100
359,0.04,0.06,359,0.01020408163265306,100,100
360,0.04,0.061,360,0.018518518518518517,100,100
361,0.04,0.062,361,0.007537688442211055,100,100
362,0.04,0.063,362,0.009852216748768473,100,100
363,0.04,0.064,363,0.01348314606741573,100,100
364,0.04,0.065,364,0.01507537688442211,100,100
365,0.04,0.066,365,0.014598540145985401,100,100
366,0.04,0.067,366,0.020887728459530026,100,100
367,0.04,0.068,367,0.034912718204488775,100,100
368,0.04,0.069,368,0.020512820512820513,100,100
369,0.04,0.07,369,0.04020100502512563,100,100
370,0.04,0.07100000000000001,370,0.015037593984962405,100,100
371,0.04,0.07200000000000001,371,0.02570093457943925,100,100
372,0.04,0.073,372,0.03970223325062035,100,100
373,0.04,0.074,373,0.01488833746898263,100,100
374,0.04,0.075,374,0.011547344110854504,100,100
375,0.04,0.076,375,0.015873015873015872,100,100
376,0.04,0.077,376,0.016042780748663103,100,100
377,0.04,0.078,377,0.007832898172323759,100,100
378,0.04,0.079,378,0.020356234096692113,100,100
379,0.04,0.08,379,0.016166281755196306,100,100
380,0.04,0.081,380,0.031088082901554404,100,100
381,0.04,0.082,381,0.007462686567164179,100,100
382,0.04,0.083,382,0.025139664804469275,100,100
383,0.04,0.084,383,0.0069124423963133645,100,100
384,0.04,0.085,384,0.02702702702702703,100,100
385,0.04,0.08600000000000001,385,0.015384615384615385,100,100
386,0.04,0.08700000000000001,386,0.022988505747126436,100,100
387,0.04,0.088,387,0.016908212560386472,100,100
388,0.04,0.089,388,0.01627906976744186,100,100
